v_cp	max_depth	min_split	minbucket	ganancia_promedio
-2	1000	20	5	NA
-2	1000	20	6	NA
-2	1000	20	10	NA
-2	1000	10	1	NA
-2	1000	10	2	NA
-2	1000	10	3	NA
-2	1000	10	4	NA
-2	1000	10	5	NA
-2	1000	5	1	NA
-2	1000	5	2	NA
-2	1000	5	3	NA
-2	1000	5	4	NA
-2	1000	5	5	NA
-2	1000	5	0	NA
-1	4	1000	1	9296000
-1	4	1000	2	9574667
-1	4	1000	3	9600000
-1	4	1000	4	9627333
-1	4	1000	5	9623333
-1	4	1000	100	9700667
-1	4	1000	200	9764000
-1	4	1000	333	9956000
-1	4	1000	500	9956000
-1	4	800	1	9296000
-1	4	800	2	9574667
-1	4	800	3	9600000
-1	4	800	4	9627333
-1	4	800	5	9623333
-1	4	800	80	9220667
-1	4	800	160	9559333
-1	4	800	266	9752667
-1	4	800	400	9938000
-1	4	600	1	9296000
-1	4	600	2	9574667
-1	4	600	3	9600000
-1	4	600	4	9616000
-1	4	600	5	9612000
-1	4	600	60	9186000
-1	4	600	120	9608000
-1	4	600	200	9695333
-1	4	600	300	9938667
-1	4	400	1	9294667
-1	4	400	2	9572667
-1	4	400	3	9597333
-1	4	400	4	9613333
-1	4	400	5	9608000
-1	4	400	40	9128000
-1	4	400	80	9158000
-1	4	400	133	9543333
-1	4	400	200	9632667
-1	4	200	1	9294667
-1	4	200	2	9572667
-1	4	200	3	9597333
-1	4	200	4	9613333
-1	4	200	5	9608000
-1	4	200	20	9503333
-1	4	200	40	9128000
-1	4	200	66	9122667
-1	4	200	100	9569333
-1	4	100	1	9294667
-1	4	100	2	9572667
-1	4	100	3	9597333
-1	4	100	4	9613333
-1	4	100	5	9608000
-1	4	100	10	9350667
-1	4	100	20	9503333
-1	4	100	33	9130000
-1	4	100	50	9138000
-1	4	50	1	9294667
-1	4	50	2	9572667
-1	4	50	3	9597333
-1	4	50	4	9613333
-1	4	50	5	9608000
-1	4	50	10	9350667
-1	4	50	16	9483333
-1	4	50	25	9336667
-1	4	20	1	9294667
-1	4	20	2	9572667
-1	4	20	3	9597333
-1	4	20	4	9613333
-1	4	20	5	9608000
-1	4	20	6	9452667
-1	4	20	10	9313333
-1	4	10	1	9296667
-1	4	10	2	9574667
-1	4	10	3	9599333
-1	4	10	4	9613333
-1	4	10	5	9609333
-1	4	5	1	9296667
-1	4	5	2	9576667
-1	4	5	3	9599333
-1	4	5	4	9614667
